temperature,humidity,pressure,wind_speed,thunderstorm
35.86,41.76,1002.78,25.95,1
28.9,40.6,1007.55,6.5,0
34.31,76.01,1000.71,13.65,1
28.21,54.22,1019.96,26.89,0
30.01,55.06,1014.29,25.44,0
25.96,89.05,991.85,16.25,1
27.54,92.98,993.87,20.35,1
31.4,42.73,1011.03,21.67,0
21.16,53.82,1003.75,12.88,0
34.0,63.12,1012.56,14.52,0
28.75,68.6,1014.17,12.89,0
23.78,71.9,1002.01,17.74,0
25.77,62.01,1005.93,24.0,0
32.96,48.76,1015.46,17.53,0
26.57,94.52,994.27,7.37,0
27.57,51.94,998.58,17.99,0
24.73,71.96,1009.5,12.18,0
22.42,42.7,1007.5,18.68,0
21.51,98.62,992.08,19.55,1
34.09,42.15,992.82,11.58,0
33.39,44.12,1007.58,19.59,0
27.92,62.46,1001.14,9.07,0
37.81,60.95,1013.95,23.34,0
30.06,74.73,991.2,22.78,1
28.15,57.7,1000.2,29.16,1
30.18,74.02,1003.15,24.17,1
31.07,43.31,993.26,7.51,0
27.25,94.98,1009.39,11.2,0
20.84,42.91,990.59,2.12,0
31.75,48.15,1005.29,12.21,0
33.88,59.66,998.04,9.61,0
23.22,66.72,1019.23,7.47,0
33.82,95.14,994.25,20.65,1
28.41,79.06,1000.62,25.24,1
22.61,58.45,997.38,2.46,0
37.17,98.78,1010.01,19.55,1
35.87,87.6,990.09,11.22,1
39.43,60.1,994.07,13.83,1
23.14,72.61,1016.21,18.46,0
26.56,42.81,994.37,24.74,0
39.21,66.13,1004.11,12.93,1
39.27,91.34,995.59,29.97,1
25.25,98.98,1016.2,22.49,0
22.93,73.45,1014.61,22.73,0
26.86,75.03,1006.39,25.23,0
31.42,48.22,1014.23,17.43,0
33.1,57.11,1004.83,7.75,0
36.88,40.02,998.19,26.56,1
34.24,81.17,991.72,25.0,1
26.5,57.61,1015.56,17.22,0
27.24,74.18,1017.87,3.15,0
29.73,55.23,997.77,24.72,1
35.24,48.44,999.54,17.27,1
31.09,96.09,1006.1,12.77,1
23.53,83.79,1005.33,13.86,0
37.14,54.08,1019.4,2.8,0
20.87,80.26,997.98,15.57,1
35.31,84.5,994.5,12.64,1
35.56,93.51,1010.85,13.89,1
38.83,99.0,997.97,19.62,1
25.96,68.59,998.06,18.65,0
27.5,97.3,991.13,25.22,1
28.45,65.81,999.98,6.15,0
32.4,93.13,1007.66,8.51,0
29.11,81.63,1004.56,12.58,1
23.99,53.49,1010.38,8.55,0
25.88,96.42,1001.48,26.86,1
39.23,85.54,1006.87,25.6,1
31.78,56.93,1007.98,28.36,0
34.25,91.92,993.1,20.38,1
38.63,93.34,1010.59,21.34,1
33.48,85.12,996.01,9.83,1
21.04,95.74,1014.44,3.04,0
34.12,71.36,990.51,7.45,0
29.03,96.76,1004.19,8.55,1
24.73,57.56,1013.6,25.37,0
20.61,66.1,1010.05,13.71,0
32.26,56.16,995.2,12.63,1
37.18,71.85,1004.52,23.29,1
29.72,64.13,1002.29,3.93,0
21.7,92.97,998.4,6.57,0
33.11,81.68,1018.2,5.4,0
28.43,70.79,1004.72,27.46,1
24.72,40.55,1009.7,28.54,0
29.71,92.16,995.39,2.53,1
30.77,73.58,990.76,28.99,1
37.06,87.99,990.78,25.1,1
25.19,55.45,990.7,9.73,0
37.17,47.35,991.88,17.62,1
38.71,72.76,997.86,18.85,1
38.27,62.85,1011.9,6.32,0
36.07,58.34,992.12,26.63,1
38.24,65.65,1018.41,20.67,0
22.08,50.73,999.07,8.33,0
37.15,40.26,997.42,12.6,1
25.17,58.77,999.12,28.36,0
39.42,75.79,993.28,13.47,1
20.42,72.04,1006.21,22.85,0
23.74,62.56,1006.96,13.93,0
25.14,54.86,1012.8,3.01,0
25.53,45.76,998.96,26.66,0
28.14,81.7,1005.59,24.44,1
26.59,98.19,1005.86,13.75,0
29.11,82.74,992.13,19.97,1
33.22,55.9,991.4,6.49,0
25.27,55.72,1013.2,10.79,0
22.58,93.56,1011.68,12.3,0
20.97,87.64,999.87,28.98,1
20.42,87.34,1004.37,9.51,0
35.03,49.33,1014.72,19.24,0
35.41,82.27,1006.0,16.79,1
33.42,93.94,1013.51,8.48,0
26.15,82.71,1009.65,4.6,0
35.35,70.21,1012.53,29.14,0
25.44,44.43,1001.01,5.25,0
24.78,85.56,1018.37,12.23,0
23.91,65.43,1019.54,14.24,0
22.42,48.67,1001.6,18.71,0
22.85,68.54,1009.36,17.03,0
24.55,98.77,1000.51,20.31,1
31.57,96.4,1002.04,19.1,1
39.69,83.74,1003.8,4.76,1
33.6,99.67,991.66,28.04,1
21.36,74.59,996.97,6.62,0
34.1,66.2,1014.64,10.94,0
39.48,70.34,1013.19,29.51,0
30.52,60.3,1001.88,16.18,1
24.72,44.65,1008.57,13.18,0
38.1,66.09,995.11,10.42,0
24.11,50.82,1004.84,29.48,0
31.33,50.51,993.62,12.9,1
23.98,73.24,1019.7,10.59,0
36.77,64.08,1013.34,23.31,0
35.28,71.11,1017.45,2.21,0
39.71,94.4,1016.51,18.6,1
20.25,69.34,1011.26,7.02,0
25.56,64.34,1007.23,16.46,0
29.58,48.79,994.01,5.95,0
28.91,42.38,1014.78,27.96,0
36.71,98.79,999.6,17.74,1
29.17,55.24,999.43,29.88,1
34.54,81.6,1014.13,2.74,0
32.79,78.27,998.21,11.01,1
25.86,94.95,1015.45,23.66,0
33.16,61.84,991.9,28.25,1
32.01,56.55,1012.43,3.44,0
34.75,79.68,1009.92,20.08,1
30.53,66.6,1017.75,4.67,0
30.57,93.64,1004.82,12.91,1
24.11,89.49,1000.21,11.24,0
24.17,42.67,996.3,22.49,0
38.96,77.93,991.96,8.33,1
20.23,57.18,1009.27,29.76,0
36.17,40.19,1000.76,28.32,1
25.71,90.44,993.1,9.55,0
36.4,49.82,998.6,24.85,1
27.19,43.7,1013.14,28.56,0
27.69,84.09,1003.76,22.2,1
21.29,89.31,1002.2,3.87,0
34.05,75.48,1012.18,15.56,1
31.1,79.91,1011.28,28.24,1
27.9,47.73,1009.17,26.29,0
28.84,98.55,991.79,8.6,1
29.43,84.61,1004.41,16.97,1
30.77,90.1,995.44,5.61,1
32.4,89.99,1017.92,17.73,1
33.96,48.23,1000.63,2.91,0
36.41,57.36,992.76,25.08,1
34.8,88.59,992.85,26.44,1
23.44,79.54,1010.83,3.18,0
25.15,78.21,1003.54,15.83,1
21.95,63.15,990.61,28.24,0
23.43,73.6,1019.24,23.19,0
35.94,96.97,998.1,16.1,1
31.95,67.71,1017.51,11.39,0
26.62,70.6,1015.96,14.67,0
28.65,47.99,994.36,3.62,0
36.55,56.05,995.41,6.99,0
23.15,97.83,1018.4,20.47,0
39.07,67.98,1000.86,18.87,1
20.38,53.45,1010.16,27.18,0
24.5,99.28,1005.76,6.27,0
25.87,53.62,1018.29,24.63,0
27.61,63.43,996.4,28.58,0
36.21,80.55,991.6,26.21,1
37.08,45.97,998.83,29.31,1
29.13,59.03,1009.56,10.85,0
27.87,70.29,1000.09,29.65,0
27.8,52.13,1014.74,26.52,0
30.59,91.06,993.57,21.74,1
26.24,67.71,1008.02,19.35,0
38.7,73.07,997.44,5.57,0
37.8,70.01,999.3,19.86,1
24.67,68.4,995.17,17.8,0
31.14,98.84,1009.81,22.01,1
28.33,60.98,991.54,15.87,1
26.69,48.02,1013.22,4.45,0
26.89,74.23,991.63,6.71,0
27.56,69.15,997.08,26.54,0
25.06,61.35,994.63,16.68,0
39.33,45.83,1011.12,15.29,0
24.79,66.63,1018.57,21.36,0
22.7,72.04,991.4,26.93,0
32.16,69.44,1019.5,23.31,0
33.74,61.57,996.15,12.25,1
32.83,91.91,1019.17,12.36,1
31.44,63.96,999.99,7.84,0
30.91,50.98,1014.53,16.81,0
26.72,49.56,1016.43,17.12,0
23.5,67.46,1012.32,18.94,0
34.86,49.64,1014.41,27.24,0
32.88,68.5,1001.66,20.06,1
30.4,57.78,1010.52,27.83,0
21.89,58.5,998.67,11.9,0
28.89,61.53,1013.51,11.27,0
28.07,85.8,999.69,10.02,1
35.01,70.16,1005.49,18.49,0
25.6,78.75,991.63,4.22,0
30.26,41.57,1006.84,4.63,0
39.03,77.95,1015.36,3.07,0
30.65,70.22,1016.02,3.55,0
30.93,58.65,991.37,29.59,1
24.09,77.45,1018.74,5.8,0
30.54,56.81,1001.58,7.51,0
25.78,92.41,993.33,21.89,1
24.56,93.8,1009.88,15.39,0
39.51,72.84,1001.24,13.93,1
38.79,41.83,1006.46,27.29,0
32.69,65.09,1005.42,11.22,0
37.9,44.04,1015.85,22.85,0
28.26,79.09,1007.38,10.5,0
23.81,97.08,1014.54,8.63,0
33.37,88.59,1017.59,15.55,1
37.81,74.66,1015.61,20.39,0
37.14,93.78,1012.65,4.95,0
36.57,47.78,1007.7,7.3,0
31.62,89.71,1007.0,17.28,1
25.2,73.48,1010.69,4.24,0
27.23,43.59,1001.83,26.75,0
39.11,49.5,997.24,16.01,1
21.09,89.59,990.03,5.59,0
38.99,68.36,1001.4,22.53,1
37.59,92.92,998.13,11.13,1
29.64,94.51,1008.32,6.72,0
36.3,84.29,1017.13,15.36,1
33.65,49.94,994.34,6.79,0
26.88,68.45,1002.81,28.7,0
32.98,98.32,1019.82,2.59,0
34.68,84.5,1001.68,24.9,1
22.71,50.37,991.91,5.28,0
24.22,43.95,1002.46,19.47,0
35.36,63.73,1018.38,22.87,0
38.88,57.9,993.99,6.92,0
21.65,42.0,996.74,5.69,0
20.77,53.39,990.66,8.17,0
25.95,74.12,1009.79,10.86,0
25.08,76.88,1015.84,23.01,0
23.04,40.52,993.25,14.63,0
38.64,45.52,1011.76,2.76,0
29.98,74.81,996.65,2.56,0
38.88,92.8,991.35,11.79,1
36.99,75.44,1013.89,2.29,0
29.63,89.11,990.41,21.87,1
30.9,40.8,991.59,5.59,0
38.25,86.24,992.67,2.84,1
38.3,95.19,1004.49,3.2,1
21.41,73.15,1014.32,16.6,0
30.25,56.79,994.1,13.34,1
21.79,54.65,1002.63,18.95,0
20.27,80.68,992.07,26.22,1
25.21,52.08,1013.46,26.2,0
20.07,83.74,995.56,23.31,1
32.02,56.03,999.89,29.32,1
22.69,55.16,993.0,26.41,0
28.22,67.19,1009.68,14.71,0
36.75,43.47,1012.52,20.6,0
22.8,48.06,995.19,3.12,0
30.02,49.24,1007.83,19.07,0
38.74,70.08,990.23,25.14,1
25.18,70.51,1011.8,23.93,0
23.33,57.18,1018.09,26.97,0
21.84,79.44,1009.16,9.8,0
28.1,73.15,990.5,9.67,0
21.41,63.23,991.15,7.45,0
32.39,51.79,990.74,3.35,0
25.43,50.68,1007.83,28.99,0
38.13,81.28,998.73,4.57,1
20.95,74.85,997.31,8.11,0
35.55,62.08,1007.25,8.74,0
36.1,88.2,1003.96,14.22,1
39.88,91.65,1001.13,23.98,1
30.43,77.96,1002.58,5.19,1
24.38,76.3,1014.57,15.06,0
23.71,67.84,990.81,13.68,0
23.56,63.58,1011.83,6.1,0
20.67,40.28,1005.13,11.59,0
38.93,53.31,1010.79,28.08,0
38.93,78.79,999.19,11.06,1
36.1,85.22,1015.05,27.14,1
36.68,94.17,1007.3,9.29,0
36.47,40.85,992.9,12.35,1
27.63,70.54,994.25,14.11,0
21.63,44.39,1018.58,23.83,0
33.16,61.75,1002.49,27.98,1
33.4,51.18,1013.44,22.69,0
39.71,41.85,1000.02,7.43,0
24.78,94.4,998.41,27.01,1
32.08,57.31,1015.25,5.96,0
32.25,93.02,1012.69,6.72,0
35.91,95.21,1000.95,5.64,1
38.89,42.91,1004.87,29.6,1
30.51,44.14,1004.32,29.45,1
31.43,57.68,1016.95,24.7,0
24.7,78.34,1016.77,10.47,0
29.72,58.91,1003.45,7.21,0
29.66,53.95,1008.8,26.28,0
37.4,47.65,1014.92,21.86,0
24.04,89.96,1015.34,7.0,0
23.26,98.44,999.97,10.68,0
27.77,50.86,1018.47,20.38,0
37.03,68.33,1013.96,15.97,0
25.65,54.77,1009.9,17.2,0
27.58,65.71,994.34,29.54,0
24.13,67.13,1011.96,20.36,0
25.68,52.42,1004.17,26.28,0
27.42,55.03,998.69,14.04,0
36.77,91.45,996.86,2.59,1
28.9,64.93,1012.94,29.34,0
28.34,84.92,995.31,3.96,1
36.55,77.73,997.54,20.59,1
23.29,86.35,998.36,18.28,1
37.2,99.0,998.03,29.01,1
21.09,70.43,994.59,24.23,0
26.04,68.53,994.79,10.59,0
21.97,75.33,994.74,5.84,0
23.9,65.2,1009.85,3.12,0
30.18,68.33,1019.33,13.42,0
20.03,46.31,990.84,13.93,0
35.48,41.84,1013.64,5.57,0
26.55,54.05,1015.1,6.81,0
31.58,67.06,997.39,26.46,1
36.77,66.12,1002.42,20.65,1
25.56,68.53,991.17,18.51,0
32.04,76.26,997.23,13.32,1
29.47,46.78,996.57,20.39,1
34.65,92.34,993.71,18.4,1
26.92,58.04,1010.24,10.79,0
26.05,64.53,994.98,21.05,0
34.4,75.96,1017.79,4.49,0
32.25,85.72,1015.83,17.82,1
34.86,50.55,1016.88,18.31,0
21.32,97.77,991.59,11.08,0
29.98,92.44,1007.79,20.65,1
24.3,86.85,1012.32,2.12,0
26.8,53.39,999.46,13.28,0
23.4,52.71,1002.29,27.46,0
20.6,89.6,991.49,2.16,0
29.89,47.42,1001.53,5.78,0
24.95,92.98,1004.94,17.31,1
29.31,44.44,1016.57,29.4,0
21.27,99.83,999.64,12.17,1
28.62,42.89,1019.78,15.09,0
38.44,87.87,1000.57,2.59,1
30.93,60.55,999.57,17.8,1
22.14,71.79,1010.9,2.22,0
27.55,85.01,1014.97,21.23,0
38.74,78.45,1016.72,23.39,1
39.49,42.21,1010.12,8.68,0
22.33,89.56,991.22,28.75,1
28.2,76.19,1003.41,20.81,1
35.52,68.56,991.04,23.18,1
33.88,68.13,1017.62,3.83,0
